budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
220000000,"['Action', 'Adventure', 'Science Fiction']",,24428,YCvIzMYVIWPWqTV5CTcL,English,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",,"['Marvel Studios', 'Paramount Pictures']",['United States of America'],2012/4/25,1519557910,143,['English'],,Some assembly required.,The Avengers,7.4,11776
380000000,"['Action', 'Adventure', 'Fantasy']",,1865,UxVvG5MtQ11i2fWtWC5YejeWc2eBcYDTBUUK,English,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",,"['Jerry Bruckheimer Films', 'Moving Picture Company (MPC)', 'Walt Disney Pictures']",['United States of America'],2011/5/14,1045713802,136,"['English', 'Spanish']",,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,"['Action', 'Comedy', 'Science Fiction']",,41154,XUqtMH1IMisqGXm,English,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",,"['Amblin Entertainment', 'Hemisphere Media Capital', 'Imagenation Abu Dhabi FZ', 'Media Magik Entertainment', 'Parkes/MacDonald Productions']",['United States of America'],2012/5/23,624026776,106,['English'],,They are back... in time.,Men in Black 3,6.2,4160
250000000,"['Action', 'Adventure', 'Fantasy']",,122917,ztUjVxTtsjiv2XvBTc1fVVHbH3,English,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",,"['3Foot7', 'Metro-Goldwyn-Mayer (MGM)', 'New Line Cinema', 'Warner Bros. Pictures', 'WingNut Films']","['New Zealand', 'United States of America']",2014/12/10,956019788,144,['English'],,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,"['Action', 'Adventure', 'Fantasy']",,1930,WXVTTIWPP2XY5WTvPHpicHBsXIQIk,English,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance ‚Ä?leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",['United States of America'],2012/6/27,752215857,136,['English'],,The untold story begins.,The Amazing Spider-Man,6.5,6586
200000000,"['Action', 'Adventure']",,20662,B1eQezDc5QMqszNHHPIqth,English,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",,"['Imagine Entertainment', 'Relativity Media', 'Scott Free Productions', 'Universal Pictures']","['United Kingdom', 'United States of America']",2010/5/12,310669540,140,"['English', 'Thai']",,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398
250000000,"['Adventure', 'Fantasy']",,57158,NQDGbINTcQfVVHGsy,English,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",,"['Metro-Goldwyn-Mayer (MGM)', 'New Line Cinema', 'Warner Bros. Pictures', 'WingNut Films']","['New Zealand', 'United States of America']",2013/12/11,958400000,161,['English'],,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,"['Adventure', 'Fantasy']",,2268,z2s5HbjIjPi5IsixqtvID7,English,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",,"['Depth of Field', 'Ingenious Film Partners', 'New Line Cinema', 'Scholastic Productions']","['United Kingdom', 'United States of America']",2007/12/4,372234864,113,"['English', 'French', 'Icelandic', 'Russian']",,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
207000000,"['Action', 'Adventure', 'Drama']",,254,YVxVzv5VqHVIPCWPMc2BPC50,English,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",,"['Big Primate Pictures', 'MFPV Film', 'Universal Pictures', 'WingNut Films']","['Germany', 'New Zealand', 'United States of America']",2005/12/14,550000000,187,['English'],,The eighth wonder of the world.,King Kong,6.6,2337
200000000,"['Drama', 'Romance', 'Thriller']",,597,HcVb5TqNMfveMTtMMbPc5iV1zUqtTqttPDWUMDqV5HUciB8,English,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fianc√©, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",,"['Lightstorm Entertainment', 'Paramount Pictures', 'Twentieth Century Fox Film Corporation']",['United States of America'],1997/11/18,1845034188,194,"['English', 'French', 'German', 'Italian', 'Russian', 'Swedish']",,Nothing on Earth could come between them.,Titanic,7.5,7562
250000000,"['Action', 'Adventure', 'Science Fiction']",,271110,UxVeHIBMYBVVIWPUvCbey,English,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",,"['Deluxe Digital Studios', 'Marvel Studios', 'Studio Babelsberg', 'Vita-Ray Dutch Productions (III)', 'Walt Disney Studios Motion Pictures']",['United States of America'],2016/4/27,1153304495,147,"['English', 'German', 'Romanian', 'Russian']",,Divided We Fall,Captain America: Civil War,7.1,7241
209000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",,44833,YUPPts2v22M22q22INxHMeVVWXIBPzBPIBQzBQIBNzBNIBzzBzIBMzBMVtUHY1G12GHeIHem,English,Battleship,"When mankind beams a radio signal into space, a reply comes from ‚ÄòPlanet G‚Ä? in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fianc√©e's father, Admiral Shane, expect of him.",,"['Bluegrass Films', 'Film 44', 'Hasbro', 'Universal Pictures']",['United States of America'],2012/4/11,303025485,131,"['English', 'Thai']",,The Battle for Earth Begins at Sea,Battleship,5.5,2114
150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",,135397,Ux2DtNf21WtNMGDitbDiGzHvvQYHbcsHHNh,English,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",,"['Amblin Entertainment', 'Dentsu', 'Fuji Television Network', 'Legendary Pictures', 'Universal Studios']",['United States of America'],2015/6/9,1513528810,124,['English'],,The park is open.,Jurassic World,6.5,8662
200000000,"['Action', 'Adventure', 'Thriller']",,37724,Ct21MDDcMPNejcMebjcsepvDfTIPC7,English,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",,['Columbia Pictures'],"['United Kingdom', 'United States of America']",2012/10/25,1108561013,143,['English'],,Think on your sins.,Skyfall,6.9,7604
200000000,"['Action', 'Adventure', 'Fantasy']",,558,XvpcUtMfIHP1QDpUppsDT5Dl,English,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],2004/6/25,783766341,127,"['Chinese', 'English', 'Russian']",,There's a hero in all of us.,Spider-Man 2,6.7,4321
200000000,"['Action', 'Adventure', 'Science Fiction']",,68721,UxVeHjcPHWHHpqiMv21UUxzPCpHVsUPXWPB2Iq,English,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",,['Marvel Studios'],"['China', 'United States of America']",2013/4/18,1215439994,130,['English'],,Unleash the power behind the armor.,Iron Man 3,6.8,8806
200000000,"['Adventure', 'Family', 'Fantasy']",,12155,UqxM5WCYQibUsMr,English,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason ‚Ä?to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",,"['Roth Films', 'Team Todd', 'Tim Burton Productions', 'Walt Disney Pictures', 'Zanuck Company, The']",['United States of America'],2010/3/3,1025491110,108,['English'],,You're invited to a very important date.,Alice in Wonderland,6.4,4645
210000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",,36668,YTzPTvHPxq25iUt7,English,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",,"['Bad Hat Harry Productions', ""Donners' Company"", 'Dune Entertainment', 'Ingenious Film Partners', 'Major Studio Partners', 'Marvel Enterprises', 'Twentieth Century Fox Film Corporation', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service', 'thinkfilm']","['Canada', 'United Kingdom', 'United States of America']",2006/5/24,459359555,104,['English'],,Take a Stand,X-Men: The Last Stand,6.3,3525
200000000,"['Animation', 'Family']",,62211,YTMWDGT5B5IHbHp1ffK,English,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University ‚Ä?when they weren't necessarily the best of friends.,,"['Pixar Animation Studios', 'Walt Disney Pictures']",['United States of America'],2013/6/20,743559607,104,['English'],,School never looked this scary.,Monsters University,7,3528
150000000,"['Action', 'Adventure', 'Science Fiction']",,8373,2WqefWXpN1DcbfpIBpb5cNMk,English,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",,"['Amblin Entertainment', 'Di Bonaventura Pictures', 'DreamWorks SKG', 'Hasbro Studios', 'Paramount Pictures', 'Platinum Dunes', 'Revolution Sun Studios']",['United States of America'],2009/6/19,836297228,150,"['English', 'Spanish']",,Revenge is coming.,Transformers: Revenge of the Fallen,6,3138
210000000,"['Action', 'Adventure', 'Science Fiction']",,91314,XtIGcMt5G1vbM2GK,English,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",,"['Amblin Entertainment', 'China Movie Channel', 'Di Bonaventura Pictures', 'Hasbro Studios', 'Ian Bryce Productions', 'Paramount Pictures', 'Platinum Dunes', 'Revolution Sun Studios']",['United States of America'],2014/6/25,1091405097,165,['English'],,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095
200000000,"['Adventure', 'Family', 'Fantasy']",,68728,U2WevPHQsppvqtqpviXQA,English,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",,"['Roth Films', 'Walt Disney Pictures']",['United States of America'],2013/3/7,491868548,130,['English'],,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530
200000000,"['Action', 'Adventure', 'Fantasy']",,102382,QQHpzBVxzP2IWf5iYMk,English,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen‚Äôs father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",,"['Avi Arad Productions', 'Columbia Pictures', 'Marvel Enterprises', 'Matt Tolmach Productions']",['United States of America'],2014/4/16,705717432,142,['English'],,No more secrets.,The Amazing Spider-Man 2,6.5,4179
170000000,"['Action', 'Adventure', 'Science Fiction']",,20526,QbjcpWsBNtq5XiIzIDjcejf,English,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",,"['Kontsept Film Company', 'LivePlanet', 'Prana Studios', 'Revolution Sun Studios', 'Sean Bailey Productions', 'Walt Disney Pictures']",['United States of America'],2010/12/10,400062763,125,['English'],,The Game Has Changed.,TRON: Legacy,6.3,2841
200000000,"['Adventure', 'Animation', 'Comedy', 'Family']",,49013,fNxTptDcUsUn,English,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,,"['Pixar Animation Studios', 'Walt Disney Pictures']",['United States of America'],2011/6/11,559852396,106,"['English', 'French', 'Italian', 'Japanese']",,Ka-ciao!,Cars 2,5.8,2033
200000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",,44912,UxDNGYYIBsIHpeHpbXIDCVM,English,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",,"['DC Entertainment', 'De Line Pictures', 'Warner Bros.']",['United States of America'],2011/6/16,219851172,114,['English'],,"In our darkest hour, there will be light.",Green Lantern,5.1,2487
200000000,"['Animation', 'Comedy', 'Family']",,10193,QqjGfeTjcCWitexHNIQ1ePq5cNVsHpr,English,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",,"['Pixar Animation Studios', 'Walt Disney Pictures']",['United States of America'],2010/6/16,1066969703,103,"['English', 'Spanish']",,No toy gets left behind.,Toy Story 3,7.6,4597
200000000,"['Action', 'Science Fiction', 'Thriller']",,534,QcQbvTINTvMqQqQYpjtNDTWWBHBZ,English,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",,"['Columbia Pictures', 'The Halcyon Company', 'Warner Bros.', 'Wonderland Sound and Vision']","['Germany', 'Italy', 'United Kingdom', 'United States of America']",2009/5/20,371353001,115,"['English', 'Italian']",,The End Begins.,Terminator Salvation,5.9,2463
190000000,['Action'],,168259,z5Vev2scQNpHUYbI,English,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,,"['Abu Dhabi Film Commission', 'China Film Co.', 'Colorado Office of Film, Television & Media', 'Dentsu', 'Fuji Television Network', 'Media Rights Capital (MRC)', 'One Race Films', 'Original Film', 'Québec Production Services Tax Credit', 'Universal Pictures']","['Japan', 'United States of America']",2015/4/1,1506249360,137,['English'],,Vengeance Hits Home,Furious 7,7.3,4176
200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",,72190,zczzHUWUVpCiH4,English,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",,"['2DUX²', 'Apparatus Productions', 'GK Films', 'Hemisphere Media Capital', 'Latina Pictures', 'Paramount Pictures', 'Skydance Productions']","['Malta', 'United States of America']",2013/6/20,531865000,116,['English'],,Remember Philly!,World War Z,6.7,5560
