revenue,budget,release_date,runtime,vote_average,vote_count
361832400,135000000,36472,128,6.0,862
212011111,150000000,37939,138,6.9,790
829000000,120000000,41226,115,6.1,2553
150406466,130000000,40864,100,5.8,373
163712074,150000000,39611,114,6.1,3021
183345589,140000000,42522,120,6.0,1000
532950503,135000000,42363,156,7.3,6396
282570682,135000000,41466,96,6.1,1074
245724603,135000000,40604,107,6.6,2051
373552094,132000000,41965,92,6.5,1346
442824138,70000000,39297,115,7.3,2888
631744560,130000000,39603,90,6.9,3145
519311965,130000000,42199,117,7.0,5880
847423452,130000000,41593,146,7.4,6495
368871007,135000000,42081,94,6.8,1519
591739379,132000000,38531,116,6.2,2322
273339556,130000000,37820,147,6.3,1564
554987477,130000000,40844,90,6.4,451
293329073,110000000,40380,100,6.2,2093
362637473,125000000,41718,139,5.6,2350
371940071,130000000,40841,107,6.7,2061
789804554,130000000,38138,141,7.7,5877
49554002,130000000,39770,165,6.3,694
243843127,130000000,41424,100,5.0,2532
354248063,127500000,36665,82,6.2,542
349424282,127000000,41990,97,6.1,1851
321887208,130000000,40479,95,6.7,1918
976475550,125000000,37211,152,7.5,7006
61648500,130000000,41473,96,5.4,1260
655011224,140000000,37811,143,7.5,6985
752100229,125000000,41961,123,6.6,5584
767820459,125000000,38854,149,6.5,2704
500188435,103000000,41717,102,6.3,978
407711549,110000000,37735,133,6.8,3506
626137675,125000000,40653,130,7.1,2438
334615000,125000000,40869,129,7.0,3886
232713139,125000000,40269,106,5.6,2233
261317921,65000000,33025,113,7.1,1710
61698899,160000000,36399,102,6.4,510
276572938,130000000,41129,120,6.0,2651
238207122,125000000,35601,125,4.2,1418
345141403,123000000,36847,104,6.2,1386
544272402,125000000,38133,124,6.2,2392
546388105,125000000,36670,123,5.9,1928
325756637,120000000,36600,130,6.2,597
289047763,130000000,39246,92,5.4,2589
609016565,120000000,41233,127,7.2,5797
228738393,110000000,39129,114,5.2,1712
415484914,120000000,42578,123,5.9,2341
259175788,120000000,37799,106,5.2,914
403170142,130000000,41059,124,6.3,5080
169956806,120000000,37456,78,5.4,613
286140700,115000000,41493,109,6.4,3439
115772733,105000000,38149,119,6.3,1570
242688965,120000000,41669,102,5.7,2342
93945766,120000000,39577,135,5.7,354
48668907,120000000,40529,121,4.9,223
261930431,117000000,40344,109,5.9,1547
286168572,120000000,41374,124,6.4,4800
850000000,113000000,38489,140,7.1,4116
649398328,120000000,37391,142,6.4,3992
562816256,115000000,37196,92,7.5,5996
415440673,120000000,41478,126,6.3,4053
924317558,115000000,36299,136,6.3,4432
585178928,135000000,41353,98,6.8,2399
132900000,97250400,39460,116,5.0,471
77628265,115000000,37421,134,5.8,341
164602163,115000000,42466,114,6.0,1523
477200000,125000000,41858,101,5.8,2636
716392705,105000000,41544,91,7.3,5751
178127760,116000000,35468,108,5.7,428
245623848,135000000,42522,112,5.8,963
167977596,120000000,42221,100,4.4,2278
574480841,110000000,39010,108,6.3,2862
470490832,110000000,42151,114,6.0,2968
333011068,110000000,35775,119,6.0,925
215294342,110000000,36705,165,6.8,1099
362744280,110000000,38330,125,6.4,2124
478207520,110000000,38510,120,6.5,2965
295238201,110000000,42081,119,6.2,3829
102000000,116000000,38338,170,7.0,1489
237382724,112000000,40537,85,4.9,621
227817248,120000000,40555,119,5.5,1251
337580051,110000000,41703,102,6.1,2397
563749323,110000000,40753,103,5.5,1179
103951461,110000000,38079,76,5.7,389
179246868,110000000,42438,121,5.9,1998
299268508,110000000,40814,127,6.6,2692
347434178,105000000,41485,105,5.5,695
164508066,160000000,35594,121,4.1,434
125537191,110000000,41570,114,6.6,2303
383531464,110000000,39253,128,6.4,2089
871368364,93000000,37243,178,8.0,8705
72178895,110000000,38154,120,5.7,672
87713825,107000000,37236,157,6.7,447
347234916,120000000,38183,115,6.7,3793
211643158,130000000,38475,144,6.6,1157
300135367,133000000,36511,84,5.8,959
267045765,105000000,40155,97,6.7,1247
630161890,108000000,42277,141,7.6,7268
162949164,126000000,38553,136,6.5,1770
10372291,90000000,37008,104,3.7,16
237202299,90000000,36686,118,6.1,1485
457640427,103000000,36647,155,7.9,5439
358372926,102000000,37427,145,7.1,2608
876688482,100000000,37573,161,7.4,5815
599045960,150000000,39035,144,7.3,3855
362211740,100000000,37097,119,5.6,1243
520000000,100000000,33420,137,7.7,4185
214104620,80000000,39995,140,6.5,1344
266465037,100000000,39388,157,7.4,1502
378882411,115000000,34529,141,6.8,1116
150166126,100000000,39975,106,6.2,954
310650585,100000000,40533,98,5.4,1060
170432927,100000000,40396,107,6.1,1383
242295562,100000000,35237,115,5.6,543
425368238,100000000,41268,165,7.8,10099
100138851,100000000,35237,91,6.8,1129
169327687,100000000,36869,78,7.2,1490
312573423,100000000,41129,103,6.1,2896
347451894,100000000,38310,131,6.4,1926
249288105,100000000,39065,104,4.9,967
100086793,100000000,40102,101,6.4,572
268426634,100000000,41409,102,6.4,1121
278731369,100000000,40520,103,6.0,1699
211989043,100000000,36488,121,5.5,482
170877916,100000000,39058,143,7.3,2281
392000694,100000000,41633,180,7.9,6571
336529144,100000000,34850,121,5.2,1498
121214377,105000000,35740,129,6.7,1560
130482868,102000000,41208,172,6.6,2977
140073390,80000000,40369,97,6.5,703
82102379,100000000,38190,104,4.2,808
243400000,100000000,41843,99,5.6,1680
109578115,140000000,37586,95,7.2,948
68688831,100000000,39969,102,5.3,381
206172544,90000000,41855,127,6.1,1795
133718711,105000000,42341,114,5.5,783
93820758,100000000,42328,122,6.5,1276
7103973,100000000,37483,95,4.4,142
94882889,100000000,40248,115,6.4,717
246233113,99000000,42313,88,6.5,604
13835130,10000000,35681,110,7.1,73
433013274,98000000,37009,130,6.0,2206
193772504,100000000,37604,167,7.1,1910
95311434,94000000,40892,145,7.1,187
149044513,85000000,39241,85,5.9,601
102000000,90000000,38148,93,5.4,334
172989651,92000000,37253,144,7.2,1811
104907746,104907746,41130,85,5.6,578
263920180,90000000,35557,126,7.3,3885
288347692,100000000,40324,146,5.4,426
76432727,95000000,36616,89,7.0,858
877244782,95000000,41086,88,6.2,2672
543514353,95000000,42075,105,6.7,2374
93525586,65000000,40173,136,6.6,1065
940335536,94000000,37771,100,7.6,6122
1118888979,94000000,37956,201,8.1,8064
926287400,79000000,37608,179,8.0,7487
114178613,95000000,41985,102,5.2,957
274703340,115000000,37053,100,5.7,2192
103039258,100000000,41745,119,5.9,2295
368780809,93000000,37090,92,5.7,2077
482860185,93000000,40758,105,7.0,4347
162839667,90000000,39492,95,6.3,572
304654182,92000000,41311,98,5.2,3493
25819961,145000000,38084,137,5.8,106
631442092,92000000,38296,115,7.4,5152
10017322,98000000,35055,119,5.7,136
226497209,95000000,40210,118,6.0,2010
589390539,90000000,35613,98,6.9,4412
497366869,90000000,36463,92,7.3,3806
167805466,100000000,40486,98,6.3,1165
347325802,90000000,37106,90,6.4,1054
155464351,100000000,36728,130,6.3,488
242988466,100000000,40073,90,6.5,1747
886686817,90000000,39993,94,6.5,2271
188133322,90000000,41626,114,7.0,3144
264105545,92000000,36832,98,5.6,1232
289847354,90000000,38995,151,7.9,4339
304320254,90000000,35964,88,7.6,2008
188072649,92000000,39669,107,6.5,1667
232617430,90000000,40891,158,7.2,2434
366101666,90000000,34838,128,6.9,2066
524028679,90000000,40170,128,7.0,5766
94061311,100000000,42599,125,5.3,621
186053725,120000000,37044,95,6.7,1224
233755553,233755553,42355,92,5.8,428
200276000,75000000,39807,121,6.7,1173
201596308,90000000,39604,113,5.5,1048
243637091,88000000,42201,105,5.6,2513
235926552,100000000,37071,146,6.8,1974
182290266,90000000,37950,99,5.2,466
171120329,90000000,35622,150,7.2,1308
190213455,95000000,36742,112,5.6,634
162944923,80000000,38450,128,6.2,392
174578751,90000000,41493,106,5.9,1648
156505388,95000000,37823,117,5.5,1418
334901337,90000000,42523,129,6.7,3235
118063304,68000000,35523,116,5.9,302
143049560,92000000,37213,126,6.8,579
60874615,90000000,36595,114,5.7,369
484635760,90000000,40636,96,6.5,2166
93700000,100000000,36511,131,6.9,963
140807547,90000000,35501,107,5.9,290
35168966,100000000,37456,138,6.1,264
79114085,20000000,30043,129,6.6,650
108539911,88000000,38505,144,7.3,616
16178959,90000000,40506,110,5.4,50
148336445,87000000,37824,141,6.7,216
494471524,92000000,35195,113,6.1,950
429632142,90000000,36882,143,7.5,3218
384335608,100000000,39037,108,5.9,1410
288500217,75000000,38191,108,7.2,2825
315156409,85000000,35636,124,6.2,840
450717150,85000000,37232,116,7.2,3783
132274484,75000000,40786,110,5.6,924
358375603,85000000,41172,91,6.8,2566
340487652,85000000,39406,107,6.6,1449
208076205,85000000,40948,115,6.3,1345
183611771,85000000,36806,100,5.1,313
152930623,75000000,40849,104,5.8,932
194168700,85000000,39059,136,6.7,1225
250649836,90000000,36119,132,6.7,1240
219103655,85000000,40170,121,6.2,360
311312624,85000000,39240,122,6.5,1999
197309027,85000000,38989,83,6.1,656
288747895,85000000,41712,139,6.9,4663
96976270,68000000,36963,131,7.2,999
80916492,85000000,37890,104,6.4,514
137298489,85000000,34138,130,6.1,712
162242962,85000000,38692,145,7.3,652
158468292,85000000,38871,104,6.1,1705
142940100,90000000,36111,178,6.9,1147
78382433,85000000,37293,108,5.5,427
37823676,37823676,29209,123,7.3,85
183018522,85000000,40983,106,5.5,1114
47664559,60000000,40386,112,7.2,2126
74208267,60000000,37708,136,5.4,516
123307945,84000000,36734,106,4.7,332
275650703,84000000,37421,88,5.4,820
41037742,50000000,41159,95,6.6,1940
237681299,82500000,38890,107,6.0,2104
21028755,8000000,30267,120,6.7,226
112483764,85000000,40389,82,4.9,119
222231186,85000000,39488,88,5.9,1799
160388063,85000000,39640,120,6.5,1527
84785914,65000000,39143,157,7.3,2023
96085477,82000000,36847,123,5.7,595
484572835,80000000,37764,101,6.4,3012
274470394,80000000,40393,103,6.0,2926
457696359,80000000,35207,110,6.7,2631
691210692,75000000,40980,142,6.9,9455
254455986,80000000,40688,102,6.2,3739
280000000,80000000,33774,126,6.6,1673
343397247,80000000,38829,83,6.3,1074
145771527,80000000,37428,85,7.1,1314
144000000,85000000,39066,97,5.8,288
140464664,75000000,35923,120,5.9,855
190320568,82000000,38491,113,6.2,785
342695435,75000000,40891,87,5.4,484
246984278,80000000,41466,100,5.8,1155
230685453,80000000,39618,110,6.0,1051
266728738,80000000,37967,128,6.3,410
294804195,80000000,40227,138,7.8,6336
163733697,80000000,39778,88,5.3,331
260696994,75000000,38421,91,6.0,1333
245676146,80000000,35608,138,6.8,1583
212874442,80000000,39806,99,5.9,901
181001478,80000000,37449,117,7.3,1077
214918407,80000000,40584,117,6.3,1543
224012234,75000000,35582,115,6.5,1270
178066569,80000000,39716,118,6.3,1018
173013509,79000000,37979,154,6.7,533
157107755,80000000,40192,118,6.6,2164
177977226,80000000,35760,93,5.3,695
91188905,80000000,36364,113,5.2,369
250200000,80000000,35384,88,6.5,1288
233093859,80000000,39792,104,5.2,1043
136982834,75000000,35649,135,6.5,431
211817906,68000000,41927,135,7.4,3946
164000000,70000000,35958,98,5.6,332
201584141,80000000,40523,80,5.2,220
122563539,80000000,37400,83,7.4,831
169852759,80000000,40730,102,5.3,498
136159423,80000000,35888,130,5.0,388
96105964,80000000,38198,129,6.2,393
473226958,80000000,42268,89,6.7,1497
90874570,80000000,36511,74,7.0,292
123729176,80000000,37319,96,5.8,631
147080413,102000000,37049,99,6.1,932
142400065,75000000,38649,129,5.9,893
71485043,85000000,36070,113,6.8,577
105316267,88000000,38590,118,5.6,818
101371017,70000000,35411,106,6.1,1509
43312294,43312294,35679,117,6.7,349
122444772,80000000,40080,89,5.9,1195
34566746,80000000,36884,145,6.9,189
159212469,80000000,35405,115,5.8,378
126546518,80000000,41626,87,5.2,133
21400000,44000000,36656,118,3.0,255
68514844,80000000,37939,90,5.6,297
53825515,80000000,40150,112,5.1,165
19480739,80000000,37951,116,5.4,318
17626234,80000000,35789,177,6.1,299
69131860,90000000,36124,92,5.2,305
146936910,90000000,42298,106,5.7,1316
33463969,80000000,36840,106,5.4,267
107944236,86000000,39064,94,6.0,639
19406406,19406406,40103,84,7.3,111
5989640,80000000,38487,110,4.8,111
117831631,130000000,41688,105,5.2,1267
313542341,60000000,37236,135,7.7,3009
788241776,45000000,34508,89,8.0,5376
355692760,79000000,40927,94,5.8,1030
248384621,78000000,41543,95,6.4,915
209196298,78000000,37528,124,6.7,1115
108103450,100000000,38051,136,6.5,318
149673788,79000000,40858,91,4.1,604
236350661,76000000,37777,107,6.2,2028
97571250,64000000,42214,92,7.6,756
15071514,80000000,39311,99,5.7,359
35134820,76000000,36707,88,3.9,87
875958308,75000000,42539,87,5.9,3462
179265204,78000000,37813,110,5.7,1155
970761885,76000000,41450,98,7.0,4637
816969268,75000000,35241,145,6.7,3260
229074524,73000000,35573,129,6.2,2487
532680671,75000000,38497,86,6.6,3237
69959751,76000000,38982,109,7.4,2071
296339527,75000000,36720,104,6.8,4097
258270008,75000000,39618,110,6.4,2528
335062621,75000000,35222,136,6.9,1456
660940780,80000000,38799,91,6.5,2951
196482882,75000000,38030,99,6.6,2105
90450008,50000000,39276,117,6.5,709
78000586,80000000,38219,114,4.7,183
117698894,75000000,41423,115,7.3,5487
271430189,80000000,40353,102,6.0,1705
219417255,60000000,38155,128,7.0,1910
73034460,35000000,39829,100,5.7,202
215663859,75000000,36868,124,5.9,283
119000410,75000000,39435,102,6.5,338
367275019,75000000,38250,90,5.8,1557
154937680,70000000,39076,134,6.6,284
95226116,53000000,38415,118,5.4,292
130358911,70000000,38708,164,6.9,696
85632458,70000000,37687,121,6.4,573
98159963,75000000,40333,100,5.7,772
108145109,75000000,42229,116,7.1,2265
55041367,80000000,38338,130,5.8,369
140175006,75000000,38919,91,6.3,874
67631903,75000000,37176,123,6.2,302
127600435,55000000,34887,134,5.9,311
226904017,75000000,40857,110,5.7,880
77944725,52000000,38420,113,6.2,512
36754634,75000000,36693,94,6.3,313
51142659,75000000,37781,116,5.0,166
14567883,75000000,36091,99,6.1,221
5802422,5802422,40060,84,5.8,282
5409517,75000000,36945,93,4.3,78
21009180,45000000,38338,113,5.7,276
248118121,75000000,36843,106,6.9,1946
1156730962,74000000,42172,91,6.4,4571
89792502,82000000,40626,110,5.9,1623
103891409,73000000,36014,98,5.8,327
13100000,75000000,35839,134,5.8,476
349779543,73000000,42501,97,5.9,1022
111231041,70000000,39485,112,5.4,444
61458982,75000000,40025,146,5.7,390
86658558,70000000,39316,110,6.5,513
162966177,72500000,38933,116,6.2,491
176104344,70000000,37064,87,4.9,410
210000000,72000000,34843,177,7.7,3336
96889998,72000000,38660,125,6.6,765
527068851,75000000,39288,87,6.9,2264
37317558,72000000,37246,152,6.6,188
54744738,94000000,37008,116,4.5,179
62172050,74500000,38084,109,6.9,180
256697520,60000000,38198,108,6.2,1071
294456605,71000000,35968,85,5.4,686
408247917,72000000,37470,106,6.4,1599
919838758,150000000,38126,93,6.7,2988
461983149,120000000,38876,117,6.6,3877
309457509,70000000,36371,116,5.7,455
277448382,70000000,37477,124,5.8,1424
311594032,74000000,42040,93,5.8,719
309492681,80000000,35377,117,6.4,470
319131050,70000000,40043,153,7.9,6430
300854823,70000000,33583,144,6.6,1532
240031094,70000000,33056,124,6.6,1896
116643346,80000000,37841,117,5.8,770
203388341,68000000,37235,136,6.5,1078
42285169,75000000,38919,110,5.3,409
171183863,70000000,38211,101,5.5,1217
443140005,75000000,40168,88,5.4,666
114660784,75000000,37316,138,6.7,521
161025640,70000000,41353,120,6.2,2981
118000000,70000000,36139,103,6.3,391
202466756,70000000,40610,116,5.5,1448
122919055,70000000,37980,125,7.6,1994
177584879,66000000,40902,146,7.0,992
154984035,70000000,41663,118,5.8,1523
90000098,70000000,32729,139,7.1,808
134748021,70000000,40423,133,5.8,493
215529201,70000000,41913,92,6.2,2389
116672912,70000000,36105,116,6.0,352
135560026,70000000,39303,127,7.1,1184
131457682,70000000,35685,136,7.0,630
67112664,70000000,40556,111,5.2,304
65977295,70000000,37414,116,5.4,228
55987321,60000000,38645,105,5.0,609
33561137,70000000,37560,97,5.2,269
160112671,70000000,40927,88,6.1,1862
59418613,75000000,41073,123,6.0,385
32287044,70000000,37302,125,5.9,241
57777106,66000000,40809,116,6.1,695
19924033,70000000,37519,91,4.3,97
19870567,70000000,35811,97,5.5,179
13596911,75000000,37110,95,5.9,228
18662027,70000000,41438,88,5.9,43
17752940,70000000,42017,133,5.1,826
57958696,70000000,38247,107,5.7,439
38629478,70000000,38805,114,4.6,180
122915111,50000000,41556,115,6.7,1659
61279452,70000000,41649,99,4.4,533
193000000,68000000,37407,124,5.9,437
698491347,68000000,40352,124,5.8,2301
71069884,68000000,37085,124,6.7,423
543513985,69000000,40367,95,7.1,6478
35431113,60000000,35024,103,5.4,222
217022588,68000000,42180,115,6.2,2463
39041505,70000000,39950,127,6.9,395
29762011,68000000,36378,121,5.7,250
83160734,36000000,40599,105,5.4,611
60289912,90000000,36461,157,7.3,481
52099090,80000000,42394,114,6.3,588
113280098,70000000,39731,128,6.5,895
86387857,69000000,40389,114,5.5,531
112265139,69000000,41080,94,5.5,1269
212404396,66000000,36279,112,6.0,602
189198313,66000000,35965,121,6.6,488
25303038,67000000,39191,102,5.0,207
481840909,70000000,36000,169,7.9,5048
203277636,66000000,41711,130,6.1,1520
374111707,70000000,36875,127,6.1,992
383257136,59000000,37325,81,7.1,3857
75715436,68000000,37701,136,5.3,567
275293450,65000000,41222,149,6.7,1429
463517383,63000000,36249,136,7.9,8907
355237933,52000000,34880,140,7.3,1599
172855065,65000000,37560,104,5.5,297
441809770,61000000,41261,157,7.1,1884
250821495,65000000,36146,119,6.3,838
128107642,65000000,39654,98,6.5,1062
250288523,95000000,35992,136,6.3,1183
211780824,65000000,40486,95,6.2,1685
163442937,65000000,41998,137,7.3,1400
128884132,65000000,36738,130,6.3,403
255000211,70000000,34117,112,6.1,588
150270147,50000000,35104,108,5.7,453
69700000,65000000,36714,104,6.0,238
162945894,63000000,38938,128,5.9,447
179379533,65000000,41044,83,5.9,1743
162091208,65000000,36355,159,7.1,1234
133821816,65000000,41992,119,6.0,466
153962963,50100000,42060,105,6.7,2542
156974557,65000000,40953,103,5.9,1389
128905366,65000000,38329,123,5.7,1252
38376497,4200000,30904,114,6.4,215
240159255,65000000,41164,95,5.6,1600
73762516,45000000,39682,105,6.0,1175
89456761,65000000,35349,120,6.5,314
64321501,65000000,38662,101,6.1,779
100853753,63000000,36448,139,8.3,9413
43545364,65000000,39063,124,6.7,186
17218080,65000000,33381,100,5.4,269
71154592,65000000,41661,92,5.0,687
42093706,50000000,38618,130,6.7,274
56681566,43000000,38365,97,4.8,575
39407616,65000000,41871,102,6.3,1286
74608570,64000000,36441,133,5.3,63
203427584,55000000,42257,121,6.7,1772
132180323,50000000,38973,147,7.1,1165
296655431,63000000,37463,94,5.9,979
44091067,65000000,40101,94,6.1,409
920100000,63000000,34131,127,7.6,4856
25052000,63000000,34509,191,6.5,202
215887717,62000000,34549,141,6.4,386
121545703,65000000,42054,127,5.9,145
101595121,64000000,38960,98,5.3,261
127666415,62000000,36636,116,6.1,340
107879496,62000000,35020,106,6.5,195
41819064,62000000,39619,87,4.3,242
18720175,62000000,36945,125,5.8,178
155760117,44000000,42363,167,7.6,4274
183953723,63000000,40632,95,5.5,331
422610419,65000000,39060,117,7.0,4997
516642939,80000000,38343,115,6.1,1373
244082376,60000000,39807,115,6.9,1343
284600000,60000000,36504,189,8.2,4048
253625427,253625427,39143,100,5.6,648
314432665,150000000,38660,81,5.6,944
369330363,61000000,41913,145,7.9,5862
214034224,60000000,37421,119,7.3,3583
352194034,58000000,35019,130,6.6,1174
149705852,60000000,36329,116,6.1,205
264118201,60000000,35950,103,7.8,4537
218613188,70000000,36144,99,6.8,817
164433867,60000000,37744,92,5.6,506
131940411,61000000,41488,109,6.6,1589
93375151,60000000,37076,87,5.0,352
176070171,60000000,37771,110,6.6,1919
93354918,60000000,37609,101,5.9,487
171757863,60000000,36070,83,6.0,1272
171844840,70000000,40075,113,5.3,588
157920733,60000000,33051,107,5.9,353
129181830,60000000,38707,94,5.7,526
311256926,61000000,42256,132,6.4,3040
204594016,60000000,40402,133,5.8,636
71664962,58000000,40464,111,6.6,2808
100230832,55000000,36510,163,6.8,422
186883563,60000000,35929,170,6.7,292
217764291,65000000,38203,120,7.0,1451
165333180,60000000,37362,92,5.3,779
74541707,60000000,38261,115,6.2,207
218340595,60000000,41263,130,6.3,2998
73648228,60000000,36369,105,5.6,604
137551594,60000000,40794,106,6.2,1325
124596398,60000000,39849,100,7.3,1386
163403799,60000000,39610,91,4.9,950
130293714,70000000,38100,146,7.3,1553
61112916,50000000,38785,98,4.5,137
170268750,60000000,38051,101,5.6,644
129832389,60000000,35384,89,5.5,575
99318987,66000000,38079,122,6.5,2225
56702901,70000000,35859,115,6.1,109
107139399,60000000,41124,90,6.7,789
159330280,60000000,35748,124,6.1,527
96269812,60000000,37980,119,5.9,581
50877145,60000000,39801,93,5.8,258
104324083,60000000,34893,100,5.6,210
50549107,60000000,41654,105,5.9,1173
